TOTAL documentos procesados: 4,483,032
Combinaciones únicas de categoría: 4980
======================================================================

MAINCAT                             SUBCAT                              CAT
----------------------------------------------------------------------
                                                                        
Actualités et événements            Actualité et événements - Divers    Actualité et événements - Divers
Actualités et événements            Medias et journalisme               Medias et journalisme
Actualités et événements            Événements                          Événements
Affari e finanza                    Affari e finanza - Altro            Affari e finanza - Altro
Affari e finanza                    Assicurazioni                       Assicurazioni
Affari e finanza                    Aziende e imprese                   Aziende e imprese
Affari e finanza                    Credito                             Credito
Affari e finanza                    Finanza personale                   Finanza personale
Affari e finanza                    Immobiliare                         Immobiliare
Affari e finanza                    Investimenti                        Investimenti
Affari e finanza                    Lavoro e carriera                   Servizi finanziari
Affari e finanza                    Marketing e pubblicità              Marketing e pubblicità - Altro
Affari e finanza                    Marketing e pubblicità              Search Engine Optimization
Affari e finanza                    Piccola impresa                     Piccola impresa
Affari e finanza                    Tasse                               Austria
Affari e finanza                    Tasse                               Francia
Affari e finanza                    Tasse                               Italia
Affari e finanza                    Tasse                               Regno Unito
Affari e finanza                    Tasse                               Singapore
Affari e finanza                    Tasse                               Spagna
Affari e finanza                    Tasse                               Stati Uniti
Affari e finanza                    Tasse                               Tasse - Altro
Ambiente                            Veicoli ad alimentazione alternativa Veicoli ad alimentazione alternativa
Amour et relations                  Amitiés                             Amitiés
Amour et relations                  Amour et relations - Divers         Amour et relations - Divers
Amour et relations                  Célibat et rencontre                Célibat et rencontre
Amour et relations                  Cérémonies                          Cérémonies
Amour et relations                  Famille                             Famille
Amour et relations                  Mariage et divorce                  Mariage et divorce
Animais de Estimação                Aves e Pássaros                     Aves e Pássaros
Animais de Estimação                Cães                                Cães
Animais de Estimação                Gatos                               Gatos
Animais de Estimação                Outros - Animais de Estimação       Outros - Animais de Estimação
Animais de Estimação                Peixes                              Peixes
Animais de Estimação                Répteis                             Répteis
Animali da compagnia                Animali da compagnia - Altro        Animali da compagnia - Altro
Animali da compagnia                Cani                                Cani
Animali da compagnia                Gatti                               Gatti
Animali da compagnia                Pesci                               Pesci
Animali da compagnia                Rettili                             Rettili
Animali da compagnia                Uccelli                             Uccelli
Animaux                             Animaux - Divers                    Animaux - Divers
Animaux                             Chats                               Chats
Animaux                             Chiens                              Chiens
Animaux                             Oiseaux                             Oiseaux
Animaux                             Poissons                            Poissons
Animaux                             Reptiles                            Reptiles
Arte e cultura                      Arte e cultura - Altro              Arte e cultura - Altro
Arte e cultura                      Arti visive                         Arti visive - Altro
Arte e cultura                      Arti visive                         Disegno e illustrazione
Arte e cultura                      Arti visive                         Fotografia
Arte e cultura                      Arti visive                         Pittura
Arte e cultura                      Arti visive                         Scultura
Arte e cultura                      Danza                               Danza
Arte e cultura                      Filosofia                           Filosofia
Arte e cultura                      Genealogia                          Genealogia
Arte e cultura                      Libri ed autori                     Libri ed autori
Arte e cultura                      Recitazione                         Recitazione
Arte e cultura                      Storia                              Storia
Arte e cultura                      Teatro                              Teatro
Arte y Humanidades                  Artes Escénicas                     Artes Escénicas
Arte y Humanidades                  Artes Visuales                      Dibujo e Ilustración
Arte y Humanidades                  Artes Visuales                      Diseño e Ilustración
